scene_id,arm_id,budget_group,captures,ray_budget,valid_frames,invalid_frames,effective_point_bins,tin_support_cells,oracle_visible_cells,own_domain_cells,own_signed_error_m3,own_absolute_error_m3,own_signed_error_percent,own_absolute_error_percent,common_group_cells,common_group_signed_error_percent,common_all_cells,common_all_signed_error_percent,total_selected,total_estimated_m3,total_reference_m3,total_signed_error_percent,max_view_disagreement_mm,reject_no_return,reject_out_of_range,reject_beam,reject_wall_or_outside,reject_below_reference
pyramid_center,baseline_fixed1,K1_reference,1,64,1,0,64,400,400,400,9.843393574863568e-05,9.843393574863568e-05,17.499366355313036,17.499366355313036,400,17.499366355313036,196,17.265626327054605,True,0.0006609339357486349,0.0005625,17.499366355312876,,0,0,0,0,0
pyramid_center,fixed3,K3,3,192,3,0,64,400,400,400,9.843393574863568e-05,9.843393574863568e-05,17.499366355313036,17.499366355313036,400,17.499366355313036,196,17.265626327054605,True,0.0006609339357486349,0.0005625,17.499366355312876,0.0,0,0,0,0,0
pyramid_center,center_tilt3,K3,3,192,3,0,120,400,400,400,6.660831353152378e-05,6.660831353152378e-05,11.8414779611598,11.8414779611598,400,11.8414779611598,196,11.522036228400909,True,0.000629108313531523,0.0005625,11.841477961159647,8.086671949266897,2,0,0,34,0
pyramid_center,translated3_level,K3,3,192,3,0,120,400,400,400,6.471771352078396e-05,6.471771352078396e-05,11.505371292583831,11.505371292583831,400,11.505371292583831,196,11.27163126432538,True,0.0006272177135207832,0.0005625,11.50537129258368,10.477553765113486,0,0,0,32,0
pyramid_center,translated3_aimed,K3,3,192,3,0,108,400,400,400,8.801101312738658e-05,8.801101312738658e-05,15.646402333757637,15.646402333757637,400,15.646402333757637,196,15.277116598130842,True,0.0006505110131273858,0.0005625,15.64640233375748,5.264540284794755,2,0,0,22,0
pyramid_center,fixed4,K4,4,256,4,0,64,400,400,400,9.843393574863568e-05,9.843393574863568e-05,17.499366355313036,17.499366355313036,196,17.265626327054605,196,17.265626327054605,True,0.0006609339357486349,0.0005625,17.499366355312876,0.0,0,0,0,0,0
pyramid_center,center_angles4,K4,4,256,4,0,152,324,400,324,2.90231469859438e-05,2.90231469859438e-05,5.159670575278905,5.159670575278905,196,4.766175015163008,196,4.766175015163008,False,,0.0005625,,13.185000910653681,24,0,0,60,0
pyramid_center,translated4_corners_level,K4,4,256,4,0,144,196,400,196,4.856184776519433e-05,4.856184776519433e-05,8.633217380479005,8.633217380479005,196,8.633217380479005,196,8.633217380479005,False,,0.0005625,,18.33775076530618,26,0,0,86,0
pyramid_shifted_013,baseline_fixed1,K1_reference,1,64,1,0,64,400,400,400,1.0443121493605928e-05,1.0443121493605928e-05,1.856554932196611,1.856554932196611,400,1.856554932196611,196,1.6228149039381812,True,0.0005729431214936055,0.0005625,1.8565549321965324,,0,0,0,0,0
pyramid_shifted_013,fixed3,K3,3,192,3,0,64,400,400,400,1.0443121493605928e-05,1.0443121493605928e-05,1.856554932196611,1.856554932196611,400,1.856554932196611,196,1.6228149039381812,True,0.0005729431214936055,0.0005625,1.8565549321965324,0.0,0,0,0,0,0
